AA,PRNIDM,PRIDM,PRNIDF,PRIDF,PoRHM,PoRNIDiM,PoRIDiM,PoRHF,PoRNIDiF,PoRIDiF,DNIDM,DIDM,DNIDF,DIDF
111,0,0,0,0,1,1,1,1,1,1,0,0,0,0
112,0,0,0,0,1,1,1,1,1,1,0,0,0,0
113,0,0,0,0,1,1,1,1,1,1,0,0,0,0
114,0,0,0,0,1,1,1,1,1,1,0,0,0,0
115,0,0,0,0,1,1,1,1,1,1,0,0,0,0
116,0,0,0,0,1,1,1,1,1,1,0,0,0,0
117,0,0,0,0,1,1,1,1,1,1,0,0,0,0
118,0,0,0,0,1,1,1,1,1,1,0,0,0,0
119,0,0,0,0,1,1,1,1,1,1,0,0,0,0
120,0,0,0,0,1,1,1,1,1,1,0,0,0,0
